"date","state","source","section","swab_id","swab_type","species","temp","sex","mass","fa","id","band_size","recap","rc","age","age_confidence","wing_score","wing_score2","site"
"8/26/20","WI","KEL","","KL20WI1083","BAT","MYLU",NA,"M",7.2,37.45,"P_989.001034203171",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1084","BAT","MYLU",NA,"M",7.55,37.6,"P_989.001034203143",2.9,"N","NR","J",0,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1086","BAT","MYLU",NA,"M",7.88,39.58,"P_989.001034203204",2.9,"N","NR","A",0,0,NA,"MAOC"
"8/26/20","WI","KEL","","KL20WI1087","BAT","MYLU",NA,"M",9.25,39,"P_989.001034203128",2.9,"N","R","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1088","BAT","MYLU",NA,"M",6.49,36.6,"P_989.001034203144",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1089","BAT","MYLU",NA,"M",6.35,37.3,"P_989.001034203159",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1090","BAT","MYLU",NA,"F",6.5,36.9,"P_989.001034203172",2.9,"N","NR","J",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1091","BAT","MYLU",NA,"M",7.58,37.1,"P_989.001034203127",2.9,"N","R","A",1,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1092","BAT","MYLU",NA,"F",7.73,38.6,"P_989.001034203124",2.9,"N","NR","J",0,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1093","BAT","MYLU",NA,"M",6.53,36.1,"P_989.001034203131",2.9,"N","NR","J",0,1,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1094","BAT","MYLU",NA,"F",7.28,38,"P_989.001034203155",2.9,"N","NR","J",1,NA,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1095","BAT","MYLU",NA,"M",9.38,36.5,"P_989.001034203168",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1096","BAT","MYLU",NA,"F",6.56,38.2,"P_989.001034203193",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1097","BAT","MYLU",NA,"M",6.58,36.3,"P_989.001034203203",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1098","BAT","MYLU",NA,"F",6.67,38.6,"P_989.001034203174",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1099","BAT","MYLU",NA,"M",7.18,37.6,"P_989.001034203194",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1100","BAT","MYLU",NA,"M",6.38,39.3,"P_989.001034203126",2.9,"N","R","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1101","BAT","MYLU",NA,"M",6.82,36.1,"P_989.001034203112",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1102","BAT","MYLU",NA,"M",7.4,36.3,"P_989.001034203111",2.9,"N","R","A",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1103","BAT","MYLU",NA,"M",5.96,36.9,"P_989.001034203119",2.9,"N","NR","J",1,0,NA,"MAOC"
"8/27/20","WI","KEL","","KL20WI1104","BAT","MYLU",NA,"M",11.16,36.5,"P_989.001034203165",2.9,"N","R","A",1,0,NA,"MAOC"
