Biomark Device Manager Version 1.2.19
Export All Records To File
Export Date/Time: 3/22/2024 3:34:32 PM

Scan Date   Scan Time     Download Date  Download Time  Reader ID  Antenna ID  HEX Tag ID      DEC Tag ID        Temperature,C  Signal,mV  Is Duplicate  Latitude  Longitude  File Name  
----------  ------------  -------------  -------------  ---------  ----------  --------------  ----------------  -------------  ---------  ------------  --------  ---------  ---------  
10/23/2023  15:35:59.330  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.390  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.470  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:35:59.540  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.260  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.290  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.360  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.420  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.480  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.550  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.610  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.680  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.740  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.800  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.860  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.920  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:00.980  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.040  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.100  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.160  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.220  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.300  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.360  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.430  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.490  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.550  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
10/23/2023  15:36:01.620  03/22/2024     15:31:31       01         01          3DD.0077BE0311  989.002008941329                            Yes                                           
